hV4,VO2,VO1,cortex,rater,sid,hemisphere,message
1050.0113976010796,318.91224607968263,307.2088466269695,104658.71875,BrendaQiu,164636,lh,"OKAY: ('BrendaQiu', 164636, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
600.7010969134823,172.22216969336657,370.2804388470523,104575.1875,BrendaQiu,164636,rh,"OKAY: ('BrendaQiu', 164636, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
664.7346868697272,319.9028811973575,521.7934770266667,106801.0859375,BrendaQiu,165436,lh,"OKAY: ('BrendaQiu', 165436, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
420.0143348225966,245.00285044731874,399.80043579366344,107977.8359375,BrendaQiu,165436,rh,"OKAY: ('BrendaQiu', 165436, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
448.5804076590393,187.79613253927135,224.2487332444601,90008.4140625,BrendaQiu,167036,lh,"OKAY: ('BrendaQiu', 167036, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
541.6058659716368,209.71809627608357,251.1154055845303,90906.234375,BrendaQiu,167036,rh,"OKAY: ('BrendaQiu', 167036, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
560.5405926547153,287.53307774198754,349.70340902948215,95384.3671875,BrendaQiu,167440,lh,"OKAY: ('BrendaQiu', 167440, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
,,,,BrendaQiu,167440,rh,"FAIL: ('BrendaQiu', 167440, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {}) path hV4 not found for BrendaQiu/167440/rh"
702.1858450122685,183.86869596379097,367.0286438046437,100999.703125,BrendaQiu,169040,lh,"OKAY: ('BrendaQiu', 169040, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
397.3751488147898,126.2135245721958,235.66682916774596,103306.484375,BrendaQiu,169040,rh,"OKAY: ('BrendaQiu', 169040, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
577.8967502396631,188.78061205390748,205.11426055726264,97665.40625,BrendaQiu,169343,lh,"OKAY: ('BrendaQiu', 169343, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
370.11058816074126,217.9155870919768,293.666158199016,98707.8515625,BrendaQiu,169343,rh,"OKAY: ('BrendaQiu', 169343, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
620.5887065618383,243.8908400237869,407.589600850134,92078.7890625,BrendaQiu,169444,lh,"OKAY: ('BrendaQiu', 169444, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
769.4116066862337,337.8669310822719,356.5086892652899,92495.296875,BrendaQiu,169444,rh,"OKAY: ('BrendaQiu', 169444, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
899.6991488024612,156.47474066763738,296.5806557603828,96106.4765625,BrendaQiu,169747,lh,"OKAY: ('BrendaQiu', 169747, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
787.9954172090606,126.57841075151383,288.8247209306318,97860.5234375,BrendaQiu,169747,rh,"OKAY: ('BrendaQiu', 169747, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
679.6769505775112,230.9423100975991,291.46566436705075,92076.96875,BrendaQiu,171633,lh,"OKAY: ('BrendaQiu', 171633, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
713.5932392689239,150.29153813814293,272.634210292737,92667.5859375,BrendaQiu,171633,rh,"OKAY: ('BrendaQiu', 171633, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
621.1804415747445,222.00199677615893,309.64914476515935,94444.59375,BrendaQiu,172130,lh,"OKAY: ('BrendaQiu', 172130, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
556.2884536968987,426.2417010612526,228.76932782729395,95894.625,BrendaQiu,172130,rh,"OKAY: ('BrendaQiu', 172130, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
536.8279222132317,334.27950838115885,264.11803445161246,118554.7734375,BrendaQiu,173334,lh,"OKAY: ('BrendaQiu', 173334, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
709.9676637113434,231.04540168215095,483.7861164543476,120110.21875,BrendaQiu,173334,rh,"OKAY: ('BrendaQiu', 173334, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
454.9351725630443,156.9032100950347,211.40068231281387,89566.5859375,BrendaQiu,175237,lh,"OKAY: ('BrendaQiu', 175237, 'lh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
448.8435078886718,149.84488999131824,188.36236049691604,93345.71875,BrendaQiu,175237,rh,"OKAY: ('BrendaQiu', 175237, 'rh', '/home/nben/visualization/hcp-annot-vc_data/save', {})"
