"","varex_rater","varex_sbj","hemi","contour","loc_on_contour"
"216",0.0635269550865965,0.768152668233721,"rh","hV4_outer",17
"217",0.0672653175988142,0.756931135365324,"rh","hV4_outer",18
"218",0.0709568840306986,0.746148983359322,"rh","hV4_outer",19
"219",0.0748818681239714,0.734949150983578,"rh","hV4_outer",20
"220",0.0785479326406861,0.724112168862929,"rh","hV4_outer",21
"221",0.0815730194618996,0.714619780423516,"rh","hV4_outer",22
"222",0.0841758739513437,0.706037554072644,"rh","hV4_outer",23
"223",0.0867834970777613,0.697749098788352,"rh","hV4_outer",24
"224",0.0891170355273189,0.689713359807657,"rh","hV4_outer",25
"225",0.0914185342477731,0.681477328956848,"rh","hV4_outer",26
"226",0.0932860600159403,0.673385179912715,"rh","hV4_outer",27
"227",0.0953346992941274,0.664769767556044,"rh","hV4_outer",28
"228",0.0973794249027211,0.656641717303977,"rh","hV4_outer",29
"229",0.0999045892217038,0.648097681162501,"rh","hV4_outer",30
"230",0.102320868921111,0.639668468679969,"rh","hV4_outer",31
"231",0.104799284387685,0.631788351474279,"rh","hV4_outer",32
"232",0.107184934852408,0.623844219383258,"rh","hV4_outer",33
"233",0.109630770295574,0.615060619220034,"rh","hV4_outer",34
"234",0.112018188983778,0.605712194586888,"rh","hV4_outer",35
"235",0.114032768236191,0.596747311581429,"rh","hV4_outer",36
"236",0.116530934346707,0.588169151949088,"rh","hV4_outer",37
"237",0.119319154544183,0.579730031321827,"rh","hV4_outer",38
"238",0.121933676425434,0.570773258136617,"rh","hV4_outer",39
"239",0.124531003655724,0.56244782695931,"rh","hV4_outer",40
"240",0.126151268817368,0.554533732761573,"rh","hV4_outer",41
"241",0.127232027361895,0.546721215641787,"rh","hV4_outer",42
"242",0.128485314512435,0.538230426606809,"rh","hV4_outer",43
"243",0.130165882703156,0.529303971174721,"rh","hV4_outer",44
"244",0.132033786663863,0.520407904692476,"rh","hV4_outer",45
"245",0.134028256658561,0.511379033317439,"rh","hV4_outer",46
"246",0.135669412745257,0.502571783589488,"rh","hV4_outer",47
"247",0.13693341872289,0.493327781955551,"rh","hV4_outer",48
"248",0.138272386162738,0.484308725029612,"rh","hV4_outer",49
"249",0.0874677537095613,0.676429298074452,"rh","hV4_VO1",0
"250",0.0848044057225036,0.683139890431856,"rh","hV4_VO1",1
"251",0.0822192679542912,0.689117476566237,"rh","hV4_VO1",2
"252",0.0799332990053042,0.694118430539309,"rh","hV4_VO1",3
"253",0.0779081406107696,0.698674892650816,"rh","hV4_VO1",4
"254",0.07604476722629,0.702435749225267,"rh","hV4_VO1",5
"255",0.0744082141863785,0.705512126364008,"rh","hV4_VO1",6
"256",0.0729426195392984,0.707651626319063,"rh","hV4_VO1",7
"257",0.071914677660679,0.708845157560067,"rh","hV4_VO1",8
"258",0.0712088658674695,0.709355745724811,"rh","hV4_VO1",9
"259",0.0709546100895601,0.709259804864632,"rh","hV4_VO1",10
"260",0.0709817640843086,0.708280062868124,"rh","hV4_VO1",11
"261",0.0710781969368906,0.706492772793869,"rh","hV4_VO1",12
"262",0.0711304350854982,0.703875958227402,"rh","hV4_VO1",13
"263",0.0712374307245563,0.701374283162862,"rh","hV4_VO1",14
"264",0.0715871460100811,0.698325509354522,"rh","hV4_VO1",15
"265",0.07213472445971,0.695375095552744,"rh","hV4_VO1",16
"266",0.0726863190509135,0.692184892915826,"rh","hV4_VO1",17
"267",0.0733270414462948,0.688785994213226,"rh","hV4_VO1",18
"268",0.0738245673496021,0.685145314349644,"rh","hV4_VO1",19
"269",0.0742218701170537,0.681077002191901,"rh","hV4_VO1",20
"270",0.0745589512113755,0.676419666043412,"rh","hV4_VO1",21
"271",0.0748049129327396,0.670898641906131,"rh","hV4_VO1",22
"272",0.0749210219521959,0.66495137035353,"rh","hV4_VO1",23
"273",0.0748240129262518,0.658766390885455,"rh","hV4_VO1",24
"274",0.0745414819399643,0.652721816113517,"rh","hV4_VO1",25
"275",0.0742518586374774,0.646831133952594,"rh","hV4_VO1",26
"276",0.074079022789936,0.640703257117859,"rh","hV4_VO1",27
"277",0.0741308266106292,0.634553930249009,"rh","hV4_VO1",28
"278",0.0742897435134081,0.628674589109442,"rh","hV4_VO1",29
"279",0.0745351358763975,0.622981572613961,"rh","hV4_VO1",30
"280",0.0748675938447712,0.61716957176387,"rh","hV4_VO1",31
"281",0.075324701921386,0.611306617389359,"rh","hV4_VO1",32
"282",0.0758659319270432,0.605154147013339,"rh","hV4_VO1",33
"283",0.0764247281955951,0.598887335988169,"rh","hV4_VO1",34
"284",0.0770267358052438,0.592431638405135,"rh","hV4_VO1",35
"285",0.0775902775636463,0.586141873419615,"rh","hV4_VO1",36
"286",0.0781670881852935,0.579886990859492,"rh","hV4_VO1",37
"287",0.078569399362612,0.573558575603363,"rh","hV4_VO1",38
"288",0.078866140712727,0.56694687160085,"rh","hV4_VO1",39
"289",0.0791847537336865,0.560471641644771,"rh","hV4_VO1",40
"290",0.0795375332997927,0.553491500680712,"rh","hV4_VO1",41
"291",0.0797088323369844,0.54635451607992,"rh","hV4_VO1",42
"292",0.0797606413400767,0.539229286323064,"rh","hV4_VO1",43
"293",0.0798855625711782,0.53253650860782,"rh","hV4_VO1",44
"294",0.0800607072353732,0.525983611013946,"rh","hV4_VO1",45
"295",0.0803435339655955,0.519470367203638,"rh","hV4_VO1",46
"296",0.0806628745174185,0.513224462690306,"rh","hV4_VO1",47
"297",0.0811502383671455,0.507109781254911,"rh","hV4_VO1",48
"298",0.0816519488709253,0.501261835356406,"rh","hV4_VO1",49
"299",0.0513714239039894,0.664749699218903,"rh","VO1_VO2",0
"300",0.0485966861863591,0.670584145697656,"rh","VO1_VO2",1
"301",0.0461531322897816,0.675757124349741,"rh","VO1_VO2",2
"302",0.0439886080677184,0.680265243905437,"rh","VO1_VO2",3
"303",0.042036297772801,0.684197455492271,"rh","VO1_VO2",4
"304",0.0402681532625023,0.687696184479982,"rh","VO1_VO2",5
"305",0.0386982659175423,0.690832102117256,"rh","VO1_VO2",6
"306",0.0374054792989612,0.693371371311318,"rh","VO1_VO2",7
"307",0.0363713378646469,0.695216446989117,"rh","VO1_VO2",8
"308",0.0354839195243525,0.696257821270945,"rh","VO1_VO2",9
"309",0.034757428049764,0.697055741513147,"rh","VO1_VO2",10
"310",0.0342513527180328,0.697547119083524,"rh","VO1_VO2",11
"311",0.0339575346079313,0.698010864760326,"rh","VO1_VO2",12
"312",0.0338833360937468,0.697673206142519,"rh","VO1_VO2",13
"313",0.0340362666916383,0.696727286754109,"rh","VO1_VO2",14
"314",0.0343675044853091,0.695285153206204,"rh","VO1_VO2",15
"315",0.034819177938743,0.693440162347032,"rh","VO1_VO2",16
